The Heat,10/05/13,9:45 PM,10/05/13,9:45 PM,False,http://cinema.cornell.edu/Fall2013/heat.html,,http://www.youtube.com/watch?v=n9BcSQIoBWE
Voyage to Italy,10/06/13,5:00 PM,10/06/13,5:00 PM,False,http://cinema.cornell.edu/Fall2013/voyage_to_italy.html,,http://www.youtube.com/watch?v=jXsLZcU40QA
Where Do We Go Now?,10/06/13,7:15 PM,10/06/13,9:05 PM,False,http://cinema.cornell.edu/Fall2013/where_do_we_go_now.html,,http://www.youtube.com/watch?v=-Te9c2jReOg
Herb & Dorothy 50x50,10/08/13,7:15 PM,10/08/13,7:15 PM,False,http://cinema.cornell.edu/Fall2013/herb__dorothy_50x50.html,,http://www.youtube.com/watch?v=eQ9iPGcY8DM
“Ancient Loops”,10/08/13,8:00 PM,10/08/13,9:07 PM,False,http://cinema.cornell.edu/Fall2013/decasia.html,Sage Chapel ,http://vimeo.com/43002580
Scarface (1932),10/09/13,7:00 PM,10/09/13,8:33 PM,False,http://cinema.cornell.edu/Fall2013/scarface_1932.html,,http://www.youtube.com/watch?v=oClFiO7LMkc
Oldboy,10/09/13,9:00 PM,10/09/13,11:00 PM,False,http://cinema.cornell.edu/Fall2013/oldboy.html,,http://www.youtube.com/watch?v=YLn1y9v6yno
Becoming Traviata,10/10/13,7:15 PM,10/10/13,7:15 PM,False,http://cinema.cornell.edu/Fall2013/becoming_traviata.html,,http://www.youtube.com/watch?v=Sq6ffF8QLsQ
Home Movie Night!,10/11/13,7:30 PM,10/11/13,9:15 PM,False,http://cinema.cornell.edu/Fall2013/home_movie_night.html,,
Laura,10/16/13,7:00 PM,10/16/13,8:28 PM,False,http://cinema.cornell.edu/Fall2013/laura.html,,http://www.youtube.com/watch?v=QJRp5C15PgE
Hannah Arendt,10/17/13,7:00 PM,10/17/13,8:53 PM,False,http://cinema.cornell.edu/Fall2013/hannah_arendt.html,,http://vimeo.com/48529271
Much Ado About Nothing,10/17/13,9:45 PM,10/17/13,11:34 PM,False,http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html,,http://www.youtube.com/watch?v=uJ5Z6yTys6c
The Red Shoes,10/18/13,7:00 PM,10/18/13,9:13 PM,False,http://cinema.cornell.edu/Fall2013/red_shoes.html,,http://www.youtube.com/watch?v=xRV6LPtRUyc
Much Ado About Nothing,10/18/13,9:45 PM,10/18/13,9:45 PM,False,http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html,,http://www.youtube.com/watch?v=uJ5Z6yTys6c
Hannah Arendt,10/19/13,7:00 PM,10/19/13,7:00 PM,False,http://cinema.cornell.edu/Fall2013/hannah_arendt.html,,http://vimeo.com/48529271
Much Ado About Nothing,10/19/13,9:30 PM,10/19/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html,,http://www.youtube.com/watch?v=uJ5Z6yTys6c
The Red Shoes,10/20/13,4:30 PM,10/20/13,4:30 PM,False,http://cinema.cornell.edu/Fall2013/red_shoes.html,,http://www.youtube.com/watch?v=xRV6LPtRUyc
Much Ado About Nothing,10/20/13,7:15 PM,10/20/13,7:15 PM,False,http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html,,http://www.youtube.com/watch?v=uJ5Z6yTys6c
Footnote,10/21/13,7:15 PM,10/21/13,8:58 PM,False,http://cinema.cornell.edu/Fall2013/footnote.html,,http://www.youtube.com/watch?v=8dwe7GR9kO4
Wavemakers,10/22/13,7:15 PM,10/22/13,8:52 PM,False,http://cinema.cornell.edu/Fall2013/wavemakers.html,,http://www.youtube.com/watch?v=LzYo4H5M91o
West Side Story,10/23/13,7:00 PM,10/23/13,9:32 PM,False,http://cinema.cornell.edu/Fall2013/west_side_story.html,,http://www.youtube.com/watch?v=yA_aFprGzyc
Rosemary’s Baby,10/23/13,10:00 PM,10/23/13,12:16 AM,False,http://cinema.cornell.edu/Fall2013/rosemarys_baby.html,,http://www.youtube.com/watch?v=D0mcbEAP_yA
Our Nixon,10/24/13,7:15 PM,10/24/13,8:39 PM,False,http://cinema.cornell.edu/Fall2013/our_nixon.html,,http://www.youtube.com/watch?v=odTZDplswDg
Rosemary’s Baby,10/24/13,9:45 PM,10/24/13,9:45 PM,False,http://cinema.cornell.edu/Fall2013/rosemarys_baby.html,,http://www.youtube.com/watch?v=D0mcbEAP_yA
The Time That Remains,10/28/13,7:15 PM,10/28/13,9:04 PM,False,http://cinema.cornell.edu/Fall2013/time_that_remains.html,,http://www.youtube.com/watch?v=ZmUPHXAC3Lk
