Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Is the Man Who Is Tall Happy?,4/12/2014,7:30 PM,4/12/2014,8:58 PM,False,http://cinema.cornell.edu/Spring2014/is_the_man_who_is_tall_h.html,,http://www.youtube.com/watch?v=d9c4xJEP6eI
Pulp Fiction,4/12/2014,9:30 PM,4/12/2014,12:03 PM,False,http://cinema.cornell.edu/Spring2014/pulp_fiction.html,,http://www.youtube.com/watch?v=s7EdQ4FqbhY
Is the Man Who Is Tall Happy?,4/13/2014,4:30 PM,4/13/2014,5:58 PM,False,http://cinema.cornell.edu/Spring2014/is_the_man_who_is_tall_h.html,,http://www.youtube.com/watch?v=d9c4xJEP6eI
Inside Llewyn Davis,4/13/2014,7:15 PM,4/13/2014,9:00 PM,False,http://cinema.cornell.edu/Spring2014/inside_llewyn_davis.html,,http://www.youtube.com/watch?v=LFphYRyH7wc
A Cultural Anthropology of Television Noise,4/16/2014,7:15 PM,4/16/2014,7:15 PM,False,http://cinema.cornell.edu/Spring2014/cultural_anthropology_of.html,,
Chimeras,4/17/2014,7:15 PM,4/17/2014,8:45 PM,False,http://cinema.cornell.edu/Spring2014/chimeras.html,,http://www.youtube.com/watch?v=Sbjs1hzXkUE
American Hustle,4/17/2014,9:15 PM,4/17/2014,11:24 PM,False,http://cinema.cornell.edu/Spring2014/american_hustle.html,,http://www.youtube.com/watch?v=ST7a1aK_lG0
Leviathan,4/18/2014,7:00 PM,4/18/2014,8:27 PM,False,http://cinema.cornell.edu/Spring2014/leviathan.html,,http://www.youtube.com/watch?v=U2wNiJt-I6U
American Hustle,4/18/2014,9:30 PM,4/18/2014,11:39 PM,False,http://cinema.cornell.edu/Spring2014/american_hustle.html,,http://www.youtube.com/watch?v=ST7a1aK_lG0
Manakamana,4/19/2014,7:00 PM,4/19/2014,8:58 PM,False,http://cinema.cornell.edu/Spring2014/manakamana.html,,http://www.youtube.com/watch?v=6POO1ealHRM
American Hustle,4/19/2014,9:30 PM,4/19/2014,11:39 PM,False,http://cinema.cornell.edu/Spring2014/american_hustle.html,,http://www.youtube.com/watch?v=ST7a1aK_lG0
Chimeras,4/20/2014,4:30 PM,4/20/2014,6:00 PM,False,http://cinema.cornell.edu/Spring2014/chimeras.html,,http://www.youtube.com/watch?v=Sbjs1hzXkUE
American Hustle,4/20/2014,7:15 PM,4/20/2014,9:24 PM,False,http://cinema.cornell.edu/Spring2014/american_hustle.html,,http://www.youtube.com/watch?v=ST7a1aK_lG0
Taxi Driver,4/22/2014,7:30 PM,4/22/2014,9:23 PM,False,http://cinema.cornell.edu/Spring2014/taxi_driver.html,,http://www.youtube.com/watch?v=sLpMx8_TYOo
Le Joli Mai (The Lovely Month of May),4/23/2014,7:00 PM,4/23/2014,9:45 PM,False,http://cinema.cornell.edu/Spring2014/le_joli_mai_the_lovely_m.html,,http://www.youtube.com/watch?v=RsfsADqNDxQ
Chinatown,4/29/2014,7:30 PM,4/29/2014,9:41 PM,False,http://cinema.cornell.edu/Spring2014/chinatown.html,,http://www.youtube.com/watch?v=FueLhmwT8E4
The Chanticleer,4/30/2014,7:00 PM,4/30/2014,8:00 PM,False,http://cinema.cornell.edu/Spring2014/chanticleer.html,,http://www.youtube.com/watch?v=0gx0dGUfQcQ
